August 2018 BTO Prices,,,,
Town,Contract,Flat Type,Selling Price(Excluding Grants **),Selling Price(Including Grants ^)
Non-Mature Towns,,,,
Punggol,Punggol Point CovePunggol Point Woods,2-room Flexi*,"From $103,000","From $23,000"
Punggol,Punggol Point CovePunggol Point Woods,3-room,"From $188,000","From $113,000"
Punggol,Punggol Point CovePunggol Point Woods,4-room,"From $286,000","From $226,000"
Punggol,Punggol Point CovePunggol Point Woods,5-room,"From $393,000","From $388,000"
Punggol,Punggol Point CovePunggol Point Woods,3Gen,"From $411,000","From $406,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,2-room Flexi*,"From $75,000","From $4,000+"
Yishun,Yishun Glen~Melody Spring @ Yishun,3-room,"From $178,000","From $103,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,4-room,"From $248,000","From $188,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,5-room,"From $334,000","From $329,000"
