Punggol,Punggol Point Cove/ Punggol Point Woods,2-room Flexi*,"From $103,000","From $23,000"
Punggol,Punggol Point Cove/ Punggol Point Woods,3-room,"From $188,000","From $113,000"
Punggol,Punggol Point Cove/ Punggol Point Woods,4-room,"From $286,000","From $226,000"
Punggol,Punggol Point Cove/ Punggol Point Woods,5-room,"From $393,000","From $388,000"
Punggol,Punggol Point Cove/ Punggol Point Woods,3Gen,"From $411,000","From $406,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,/ 2-room Flexi*,"From $75,000","From $4,000+"
Yishun,Yishun Glen~Melody Spring @ Yishun,/ 3-room,"From $178,000","From $103,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,4-room,"From $248,000","From $188,000"
Yishun,Yishun Glen~Melody Spring @ Yishun,5-room,"From $334,000","From $329,000"
Sembawang,EastGlen @ Canberra#,3-room,"From $165,000","From $90,000"
Sembawang,EastGlen @ Canberra#,4-room,"From $251,000","From $191,000"
Sembawang,EastGlen @ Canberra#,5-room,"From $327,000","From $322,000"
Sengkang,Fernvale Acres#,4-room,"From $270,000","From $210,000"
Sengkang,Fernvale Acres#,5-room,"From $366,000","From $361,000"
Tengah,Plantation Grove,2-room Flexi*,"From $101,000","From $21,000"
Tengah,Plantation Grove,3-room,"From $193,000","From $118,000"
Tengah,Plantation Grove,4-room,"From $290,000","From $230,000"
Tengah,Plantation Grove,5-room,"From $397,000","From $392,000"
Tengah,Plantation Grove,3Gen,"From $423,000","From $418,000"
Yishun,Melody Spring @ Yishun#,3-room,"From $170,000","From $95,000"
Yishun,Melody Spring @ Yishun#,4-room,"From $259,000","From $199,000"
Yishun,Melody Spring @ Yishun#,5-room,"From $346,000","From $341,000"
Tampines,Tampines GreenGem#,2-room Flexi*,"From $134,000","From $94,000"
Tampines,Tampines GreenGem#,3-room,"From $240,000","From $220,000"
Tampines,Tampines GreenGem#,4-room,"From $352,000","From $347,000"
Jurong West,Boon Lay Glade/ Jurong West Jewel ,2-room Flexi*,"From $95,000","From $15,000"
Jurong West,Boon Lay Glade/ Jurong West Jewel ,3-room,"From $185,000","From $110,000"
Jurong West,Boon Lay Glade/ Jurong West Jewel ,4-room,"From $257,000","From $197,000"
Jurong West,Boon Lay Glade/ Jurong West Jewel ,5-room,"From $338,000","From $333,000"
Jurong West,Boon Lay Glade/ Jurong West Jewel ,3Gen,"From $382,000","From $377,000"
Sengkang,Fernvale Vines#,2-room Flexi*,"From $102,000","From $22,000"
Sengkang,Fernvale Vines#,3-room,"From $191,000","From $116,000"
Sengkang,Fernvale Vines#,4-room,"From $283,000","From $223,000"
Sengkang,Fernvale Vines#,5-room,"From $365,000","From $360,000"
Sengkang,Fernvale Vines#,3Gen,"From $385,000","From $380,000"
Kallang/ Whampoa,Kallang Breeze/ Towner Crest,3-room,"From $374,000","From $354,000"
Kallang/ Whampoa,Kallang Breeze/ Towner Crest,4-room,"From $523,000","From $518,000"
